mere,単に。ただ、単なる。,たんに。ただ、たんなる。
glance,ちらりと見る、一瞥,ちらりとみる、いちべつ
mate,仲間、同僚、配偶者,なかま、どうりょう、はいぐうしゃ
policy,政策、方針。組織や政府が定めた方針。,せいさく、ほうしん。そしきやせいふがさだめたほうしん。
federation,複数の組織や国が連合した組織体。,ふくすうのそしきやくにがれんごうしたそしきたい。
disturb,邪魔をする、心を乱す,じゃまをする、こころをみだす
quest,探求、目標に向かう旅や試み。,たんきゅう、もくひょうにむかうたびやこころみ。
brim,容器などの縁、帽子のつば,ようきなどのへり、ぼうしのつば
include,含む。あるものが他のものの中に含まれていること。例 This price includes tax.(この価格は税込みです。),ふくむ。あるものがほかのもののなかにふくまれていること。れい This price includes tax.(このかかくはぜいこみです。)
attempt,試みる。目標を達成するために行う挑戦や努力を意味します。,こころみる。もくひょうをたっせいするためにおこなうちょうせんやどりょくをいみします。
stick to,固執する、貫く。「自分の意見を貫く」「計画を堅持する」という文脈で使用。,こしつする、つらぬく。「じぶんのいけんをつらぬく」「けいかくをけんじする」というぶんみゃくでしよう。
passenger,乗客、旅客。passenger seat(助手席)、passenger train(旅客列車)など。,じょうきゃく、りょきゃく。passenger seat(じょしゅせき)、passenger train(りょきゃくれっしゃ)など。
compulsory,強制的な、必須の、義務付けられた,きょうせいてきな、ひっすの、ぎむづけられた
implement,実装する。設計された機能やシステムを実際に作り上げること。,じっそうする。せっけいされたきのうやしすてむをじっさいにつくりあげること。
clay,粘土、陶土,ねんど、とうど
notification,重要な情報を知らせる通知。,じゅうようなじょうほうをしらせるつうち。
fertile,肥沃な土地、子孫を残せる,ひよくなとち、しそんをのこせる
fuzzy,はっきりしていない、ぼやけた様子。,はっきりしていない、ぼやけたようす。
author,著者。書籍や記事を書いた人を指します。,ちょしゃ。しょせきやきじをかいたにんをさします。
estimated,見積もった、推定した。おおよその数値や状況を計算すること。,みつもった、すいていした。おおよそのすうちやじょうきょうをけいさんすること。
transmission,データやエネルギーの送信。,でーたやえねるぎーのそうしん。
declaration,宣言、申告、表明,せんげん、しんこく、ひょうめい
component,構成要素、部品,こうせいようそ、ぶひん
flood,洪水、氾濫、大量の。,こうずい、はんらん、たいりょうの。
sole,唯一の、単独の,ゆいいつの、たんどくの
desperately,非常に困難な状況で必死に。,ひじょうにこんなんなじょうきょうでひっしに。
sincerely,誠実に、または敬具。手紙やメールの結びで真摯な態度を示す際に用いられます。,せいじつに、またはけいぐ。てがみやめーるのむすびでしんしなたいどをしめすさいにもちいられます。
glimpse,ちらっと見る、一瞥,ちらっとみる、いちべつ
strict,厳密で厳しい様子。,げんみつでいかめしいようす。
depend,頼る。物事が他の事柄に依存している状態や、必要としていることを意味します。,たよる。ものごとがほかのことがらにいぞんしているじょうたいや、ひつようとしていることをいみします。
downstream task,下流タスク。事前学習済みモデルを別の具体的なタスクに適用すること。,かりゅうたすく。じぜんがくしゅうすみもでるをべつのぐたいてきなたすくにてきようすること。
disassemble,分解する、解体する,ぶんかいする、かいたいする
nearby,すぐ近く、付近にある,すぐちかく、ふきんにある
industry-wide,業界全体に関連する。,ぎょうかいぜんたいにかんれんする。
architectural,建築に関する、建築様式の、建築学の。,けんちくにかんする、けんちくようしきの、けんちくがくの。
proficient,熟練した、上手な,じゅくれんした、じょうずな
The company will supply us with the necessary materials.,会社は私たちに必要な材料を供給してくれます。,かいしゃはわたしたちにひつようなざいりょうをきょうきゅうしてくれます。
breathtaking,息をのむほど美しい・驚くべき,いきをのむほどうつくしい・おどろくべき
idiot,知能が低いとされる人、馬鹿な人。,ちのうがひくいとされるにん、ばかなにん。
lecture,長々と説教や指導を行うこと。,ながながとせっきょうやしどうをおこなうこと。
deliberately,故意に、計画的に。意図的に行う行為。,こいに、けいかくてきに。いとてきにおこなうこうい。
unit,単位。数や量を計測するための基準や、組織内の独立した部門を指します。,たんい。かずやりょうをけいそくするためのきじゅんや、そしきないのどくりつしたぶもんをさします。
organic,無農薬の、化学肥料を使わない。,むのうやくの、かがくひりょうをつかわない。
somewhat,やや、幾分か。ある程度の量や程度を示す表現。,やや、いくぶんか。あるていどのりょうやていどをしめすひょうげん。
obtain,保つ。必要なものや望むものを手に入れることを指します。,たもつ。ひつようなものやのぞむものをてにいれることをさします。
selected,選択した、特定のものを選び取った。,せんたくした、とくていのものをえらびとった。
housing,人々が住むための施設。,ひとびとがすむためのしせつ。
strengthen,強化する、強くする,きょうかする、つよくする
busy,忙しい、手が離せない,いそがしい、てがはなせない
conservatively,政策や意見が保守的な方法で。,せいさくやいけんがほしゅてきなほうほうで。
edge,端、縁。物の境界部分。比喩的に「優位性」の意味でも使用。,はじ、へり。もののきょうかいぶぶん。ひゆてきに「ゆういせい」のいみでもしよう。
observance,遵守、儀式、祝祭,じゅんしゅ、ぎしき、しゅくさい
artificial,人工的な、人造の,じんこうてきな、じんぞうの
entire,全体の、すべてを含む意味。完全な範囲や全体性を強調する際に使用されます。,ぜんたいの、すべてをふくむいみ。かんぜんなはんいやぜんたいせいをきょうちょうするさいにしようされます。
class,社会の階級、または授業。,しゃかいのかいきゅう、またはじゅぎょう。
steel,鋼鉄、鉄鋼。鉄を主成分とする強い金属材料。,こうてつ、てっこう。てつをしゅせいぶんとするつよいきんぞくざいりょう。
aid,援助、支援する,えんじょ、しえんする
receptionist,受付係、受付担当者。訪問者の最初の対応をする職員。,うけつけかかり、うけつけたんとうしゃ。ほうもんしゃのさいしょのたいおうをするしょくいん。
entertainment,娯楽、芸能、余興,ごらく、げいのう、よきょう
crush,押しつぶす、強く圧力をかける。,おしつぶす、つよくあつりょくをかける。
reported,報告・通報された事項,ほうこく・つうほうされたじこう
political asylum,政治亡命。政治的理由による他国への避難。,せいじぼうめい。せいじてきりゆうによるたこくへのひなん。
anyway,とにかく、それはそうと,とにかく、それはそうと
shrink,大きさや量が減る、縮小すること。,おおきさやりょうがへる、しゅくしょうすること。
membrane,生体などの薄い膜状組織,せいたいなどのうすいまくじょうそしき
profitable,収益のある。収入や利益をもたらすことが期待できるものを指します。,しゅうえきのある。しゅうにゅうやりえきをもたらすことがきたいできるものをさします。
detergent,洗濯・食器用の洗剤,せんたく・しょっきようのせんざい
surveillance,防犯や安全目的での監視。,ぼうはんやあんぜんもくてきでのかんし。
second,時間の単位で、1分の1/60。瞬時や短い間を示す際にも使われます。,じかんのたんいで、1ふんの1/60。しゅんじやみじかいかんをしめすさいにもつかわれます。
operate,操作する。機械や装置を動かすことや、事業を運営することを意味します。,そうさする。きかいやそうちをうごかすことや、じぎょうをうんえいすることをいみします。
luncheon,昼食、ビジネスランチ。,ちゅうしょく、びじねすらんち。
investor,投資家、出資者。資金を投資して利益を得ようとする人や組織。,とうしか、しゅっししゃ。しきんをとうししてりえきをえようとするにんやそしき。
trash,不要で捨てるべきごみや廃棄物。,ふようですてるべきごみやはいきぶつ。
held,開催された。会議やイベントなどが開催されたことを表す動詞の過去分詞。,かいさいされた。かいぎやいべんとなどがかいさいされたことをあらわすどうしのかこぶんし。
hydrogen,水素元素、最も軽い気体。,すいそげんそ、もっともかるいきたい。
certainly,確かに、または確実に。相手の質問や疑問に対して肯定的な応答をする際に使われます。,たしかに、またはかくじつに。あいてのしつもんやぎもんにたいしてこうていてきなおうとうをするさいにつかわれます。
track,移動の跡や痕跡を追う。,いどうのあとやこんせきをおう。
influence,影響、影響力。他者や状況に与える作用や力。,えいきょう、えいきょうりょく。たしゃやじょうきょうにあたえるさようやちから。
affected,影響を受けた状態。,えいきょうをうけたじょうたい。
promotion,昇進、販売促進活動,しょうしん、はんばいそくしんかつどう
anticipation,予期、期待、予測,よき、きたい、よそく
decrease,減少する、あるいは減る。量や数が少なくなることを指します。,げんしょうする、あるいはへる。りょうやかずがすくなくなることをさします。
quarter,1年を4分割した期間。,1ねんを4ぶんかつしたきかん。
factory,商品を大量に生産するための工場や施設。,しょうひんをたいりょうにせいさんするためのこうじょうやしせつ。
medical,医療の、医学の、医薬の,いりょうの、いがくの、いやくの
preferred,好んだ、優先して選んだ。,このんだ、ゆうせんしてえらんだ。
award,賞、報酬。特定の成果や功績に対して与えられる栄誉や報奨です。,しょう、ほうしゅう。とくていのせいかやこうせきにたいしてあたえられるえいよやほうしょうです。
plaque,斑点、プラーク、記念板。,はんてん、ぷらーく、きねんいた。
decided,決定した、選択を確定した。,けっていした、せんたくをかくていした。
physics,物理学、自然科学の基礎,ぶつりがく、しぜんかがくのきそ
portray,描写する、表現する,びょうしゃする、ひょうげんする
regardless,関係なく、にもかかわらず,かんけいなく、にもかかわらず
grim,厳しい、不気味な、残酷な,いかめしい、ぶきみな、ざんこくな
shareholder,株主、会社の所有者。,かぶぬし、かいしゃのしょゆうしゃ。
confirmation,確認、証明、承認。,かくにん、しょうめい、しょうにん。
thoroughly,隅々まで徹底的に。,すみずみまでてっていてきに。
kitchenette,ミニキッチン、簡易台所,みにきっちん、かんいだいどころ
including,～を含めて、またはその中に含まれているもの。,~をふくめて、またはそのなかにふくまれているもの。
undergraduate,学部生、大学生,がくぶせい、だいがくせい
specifically,具体的に、特に,ぐたいてきに、とくに
negotiable,交渉可能な、話し合いで条件変更可能。,こうしょうかのうな、はなしあいでじょうけんへんこうかのう。
damp,じめじめした、湿気のある,じめじめした、しっけのある
length,物体の長さを示す。,ぶったいのながさをしめす。
residence,住宅、住居として使用される場所。,じゅうたく、じゅうきょとしてしようされるばしょ。
lost,道に迷った、または方向を見失った状態。,みちにまよった、またはほうこうをみうしなったじょうたい。
insolvency,支払不能、破産,しはらいふのう、はさん
occur,発生する、起こる。事象が実際に起きること。,はっせいする、おこる。じしょうがじっさいにおきること。
official,公式の、正式に認められたもの。,こうしきの、せいしきにみとめられたもの。
disgusting,嫌な、胸が悪くなるほどの。,いやな、むねがわるくなるほどの。
certified,認証された、資格を持つ,にんしょうされた、しかくをもつ
received,受け取った。何かを与えられたこと。,うけとった。なにかをあたえられたこと。
landlord,大家、地主。建物を貸している人、土地の所有者。,おおや、じぬし。たてものをかしているにん、とちのしょゆうしゃ。
racial,人種の、民族の,じんしゅの、みんぞくの
storage,保管、収納、記憶装置,ほかん、しゅうのう、きおくそうち
spent,消費した、時間やお金を使った。,しょうひした、じかんやおかねをつかった。
rectify,修正する、是正する,しゅうせいする、ぜせいする
safety,安全性。危険がない状態、または危険を回避するための措置を指します。例 safety regulations(安全規制),あんぜんせい。きけんがないじょうたい、またはきけんをかいひするためのそちをさします。れい safety regulations(あんぜんきせい)
allege,証拠なしで主張する,しょうこなしでしゅちょうする
come across,偶然出会う、～という印象を与える。「彼は親切な人として周りに受け止められている」などの使い方。,ぐうぜんであう、~といういんしょうをあたえる。「かれはしんせつなにんとしてまわりにうけやめられている」などのつかいかた。
purchase,購入する、購入。buyよりもフォーマルな表現。purchase order(発注書)、purchase price(購入価格)など、ビジネス用語として頻出。,こうにゅうする、こうにゅう。buyよりもふぉーまるなひょうげん。purchase order(はっちゅうかき)、purchase price(こうにゅうかかく)など、びじねすようごとしてひんしゅつ。
delicatessen,惣菜、特に高級な食材や調理済み食品を扱う店。,そうざい、とくにこうきゅうなしょくざいやちょうりずみしょくひんをあつかうみせ。
elaborate,精巧な、手の込んだ,せいこうな、てのこんだ
competent,有能な、十分な能力がある,ゆうのうな、じゅうぶんなのうりょくがある
surprise,驚かせる、予想外の出来事。,おどろかせる、よそうがいのできごと。
compatible,他のものと互換性がある。,ほかのものとごかんせいがある。
suggested,提案した。何かを行うことを提案すること。,ていあんした。なにかをおこなうことをていあんすること。
equity,株主資本、公平性,かぶぬししほん、こうへいせい
remove,取り外す、撤去する。物を元の場所から移動したり、取り除いたりすることを意味します。,とりはずす、てっきょする。ものをもとのばしょからいどうしたり、とりのぞいたりすることをいみします。
national,国に関する、全国的な,くににかんする、ぜんこくてきな
contrast,対比、対照、違い,たいひ、たいしょう、ちがい
returned,返った、元の場所や状態に戻った。,かえった、もとのばしょやじょうたいにもどった。
chart,データを示す図や表。,でーたをしめすずやおもて。
ladder,はしご。高い場所へ昇り降りするための道具。比喩的に、成功へのステップを表すこともある。,はしご。たかいばしょへのぼりおりするためのどうぐ。ひゆてきに、せいこうへのすてっぷをあらわすこともある。
honorable,高い評価を受けるべき尊敬できる性質。,たかいひょうかをうけるべきそんけいできるせいしつ。
glowing,白熱した、真っ赤に熟した状態。,はくねつした、まっかにじゅくしたじょうたい。
cultivate,栽培する、育成する,さいばいする、いくせいする
vary,異なる、変わる。状況や条件によって変化すること。,ことなる、かわる。じょうきょうやじょうけんによってへんかすること。
less,より少ない。量が他のものよりも少ないことを指します。例less than(〜より少ない),よりすくない。りょうがほかのものよりもすくないことをさします。れいless than(〜よりすくない)
island,島、周囲を水に囲まれた土地。,しま、しゅういをみずにかこまれたとち。
relocation,引っ越し、移転、移住,ひっこし、いてん、いじゅう
cave,地下にある自然の空間。,ちかにあるしぜんのくうかん。
missionary,宣教師、布教師,せんきょうし、ふきょうし
sprinkle,少量を振りかける、またはまき散らす。,しょうりょうをふりかける、またはまきちらす。
throat,喉、咽頭,のど、いんとう
garden,庭。家の周りに作られた植物を育てる場所。,にわ。いえのまわりにつくられたしょくぶつをそだてるばしょ。
witness,事件などの目撃者、証言する,じけんなどのもくげきしゃ、しょうげんする
virus,感染症を引き起こすウイルス。,かんせんしょうをひきおこすういるす。
spiritual,精神的な、霊的な,せいしんてきな、れいてきな
potentially,潜在的に、可能性がある。,せんざいてきに、かのうせいがある。
enrich,豊かにする、価値を高める,ゆたかにする、かちをたかめる
granger,農業労働者、農夫。,のうぎょうろうどうしゃ、のうふ。
stain,物の汚れやしみ。,もののよごれやしみ。
screw,ねじ、スクリュー,ねじ、すくりゅー
spark,火花、きっかけ,ひばな、きっかけ
disgrace,不名誉、恥辱、失墜した名誉。,ふめいよ、ちじょく、しっついしためいよ。
bloom,花が咲く、繁栄する,はながさく、はんえいする
depot,倉庫、車庫、基地,そうこ、しゃこ、きち
furnish,家具を備える、提供する,かぐをそなえる、ていきょうする
waste,無駄に使う、またはごみ。必要以上に使用して無駄にすること、または不要になったものを指します。,むだにつかう、またはごみ。ひつよういじょうにしようしてむだにすること、またはふようになったものをさします。
fairness,公平さ、正義にかなった状態。,こうへいさ、せいぎにかなったじょうたい。
lease,不動産などを期限付きで貸借する,ふどうさんなどをきげんつきでたいしゃくする
eternally,時間の制約なく、永遠に続くこと。,じかんのせいやくなく、えいえんにつづくこと。
council,議会、評議会、協議会。,ぎかい、ひょうぎかい、きょうぎかい。
cell,細胞、小部屋、電池,さいぼう、こべや、でんち
jar,瓶、液体や食品を保存する容器。,かめ、えきたいやしょくひんをほぞんするようき。
typical,典型的な、あるいは標準的な。一般的に見られる特徴を備えたものを指します。,てんけいてきな、あるいはひょうじゅんてきな。いっぱんてきにみられるとくちょうをそなえたものをさします。
unfold,展開する、広がる,てんかいする、ひろがる
dreadful,ひどい、恐ろしい,ひどい、おそろしい
supplement,追加の情報や物、補足。,ついかのじょうほうやもの、ほそく。
weave,糸や材料を編んで布や模様を作る。,いとやざいりょうをあんでぬのやもようをつくる。
status,地位、状態。社会的な立場や現在の状況。,ちい、じょうたい。しゃかいてきなたちばやげんざいのじょうきょう。
expected,期待される、予想される、見込まれる,きたいされる、よそうされる、みこまれる
groan,うめき声、苦悩の声,うめきこえ、くのうのこえ
payment,支払い。お金を払うこと。,しはらい。おかねをはらうこと。
prior,優先的、または何かに先立つという意味。時間的、または順序的に他のものよりも前であることを表します。,ゆうせんてき、またはなにかにさきだつといういみ。じかんてき、またはじゅんじょてきにほかのものよりもまえであることをあらわします。
origin,起源、発祥、原点,きげん、はっしょう、げんてん
export,物品を輸出すること。,ぶっぴんをゆしゅつすること。
fascinate,強く魅了する。,つよくみりょうする。
detective,探偵、刑事,たんてい、けいじ
reasoning,推論、論理的思考。,すいろん、ろんりてきしこう。
announce,発表する。公式に知らせること。,はっぴょうする。こうしきにしらせること。
conversation,会話や対話。複数の人が互いに意見や考えを交わすコミュニケーションの形です。,かいわやたいわ。ふくすうのにんがたがいにいけんやかんがえをまじわすこみゅにけーしょんのかたちです。
authorization,権限付与、認可、許可、承認。,けんげんふよ、にんか、きょか、しょうにん。
itemize,項目分けする、明細化する,こうもくわけする、めいさいかする
confusion,情報の混乱状態。,じょうほうのこんらんじょうたい。
incident,特定の出来事や事故。,とくていのできごとやじこ。
abandon,放棄し去ること。,ほうきしさること。
founder,組織や企業の創設者。,そしきやきぎょうのそうせつしゃ。
luxury,豪華な、贅沢な。通常以上に質の高い、または費用のかかるもの。,ごうかな、ぜいたくな。つうじょういじょうにしつのたかい、またはひようのかかるもの。
quality,品質、質。high quality(高品質)、quality control(品質管理)、quality assurance(品質保証)など、ビジネスで重要な概念を表す際に使用。,ひんしつ、しつ。high quality(こうひんしつ)、quality control(ひんしつかんり)、quality assurance(ひんしつほしょう)など、びじねすでじゅうようながいねんをあらわすさいにしよう。
certain,特定の、または確かな。曖昧さがなく、明確に認識できる状態を表します。,とくていの、またはたしかな。あいまいさがなく、めいかくににんしきできるじょうたいをあらわします。
conception,概念、または何かを思いつくこと。,がいねん、またはなにかをおもいつくこと。
feature,特徴、機能。物や人が持つ独特の属性や、装置などの特別な機能を指します。,とくちょう、きのう。ものやにんがもつどくとくのぞくせいや、そうちなどのとくべつなきのうをさします。
follow,誰かの後を追う行動。,だれかののちをおうこうどう。
compel,他の人を強制的に行動させること。,ほかのにんをきょうせいてきにこうどうさせること。
calculate,数字を使って計算する、見積もる。,すうじをつかってけいさんする、みつもる。
afterwards,その後で、後に,そのあとで、のちに
entail,必然的に伴う、含む,ひつぜんてきにともなう、ふくむ
inattentive,注意が散漫な、不注意な状態。,ちゅういがさんまんな、ふちゅういなじょうたい。
commodity,商品、日用品,しょうひん、にちようひん
electric,電気に関する、電気で動くもの。,でんきにかんする、でんきでうごくもの。
technician,技術者、専門的な技能を持つ人。特に機械や電気機器などの専門家。,ぎじゅつしゃ、せんもんてきなぎのうをもつにん。とくにきかいやでんきききなどのせんもんか。
yawn,大きくあくびをする行為。,おおきくあくびをするこうい。
discovery,新たに見つかった事実や情報。,あらたにみつかったじじつやじょうほう。
assumption,仮定、前提。確実な証拠なしに想定すること。,かてい、ぜんてい。かくじつなしょうこなしにそうていすること。
association,協会。共通の目的を持つ人々の団体や組織を指します。,きょうかい。きょうつうのもくてきをもつひとびとのだんたいやそしきをさします。
facilitator,促進者、仲介者、進行役,そくしんもの、ちゅうかいしゃ、しんこうやく
increasing,数や量が増え続ける。,かずやりょうがふえつづける。
reckon,計算する、推測する,けいさんする、すいそくする
same,同じ、同一の。全く同じものを指す形容詞。the same as...(～と同じ)、at the same time(同時に)などとよく使用。,おなじ、どういつの。まったくおなじものをさすけいようし。the same as...(~とおなじ)、at the same time(どうじに)などとよくしよう。
stack,積み重ねる。物を重ねて置くこと。比喩的に、多くのものを集めることを表すこともある。,つみかさねる。ものをおもねておくこと。ひゆてきに、おおくのものをあつめることをあらわすこともある。
damaged,損傷した、壊れた、傷ついた,そんしょうした、こわれた、きずついた
intimate,親密な、私的な関係の,しんみつな、してきなかんけいの
transportation,輸送。人や物をある場所から別の場所へ運ぶこと。例 public transportation(公共交通機関),ゆそう。にんやものをあるばしょからべつのばしょへはこぶこと。れい public transportation(こうきょうこうつうきかん)
tragedy,悲劇、悲惨な出来事,ひげき、ひさんなできごと
deceit,欺瞞、詐欺,ぎまん、さぎ
tuck,折り込む、押し込む,おりこむ、おしこむ
bind,固定して縛る。,こていしてしばる。
faithfully,忠実に従って。,ちゅうじつにしたがって。
log,丸太、記録、航海日誌,まるた、きろく、こうかいにっし
customer-satisfaction,顧客の満足度。,こきゃくのまんぞくど。
as a consequence,その結果として、従って,そのけっかとして、したがって
sidewalk,歩道、都市や町の歩行者専用の道。,ほどう、としやまちのほこうしゃせんようのみち。
tread,注意して歩く、踏み入れる。,ちゅういしてあるく、ふみいれる。
infant,幼児、乳児,ようじ、にゅうじ
replacement,交換、代替。古いものを新しいものに置き換えること。,こうかん、だいたい。ふるいものをあたらしいものにおきかえること。
tie,物を結ぶこと、ネクタイ。,ものをむすぶこと、ねくたい。
afford,買う余裕がある、余裕がある。金銭的または時間的に可能である状態。,かうよゆうがある、よゆうがある。きんせんてきまたはじかんてきにかのうであるじょうたい。
duration,継続する時間の長さ。,けいぞくするじかんのながさ。
accommodate,収容する。人や物を適切に受け入れたり、場所を提供したりすること。,しゅうようする。にんやものをてきせつにうけいれたり、ばしょをていきょうしたりすること。
mentioned,言及した、述べた、引き合いに出した,げんきゅうした、のべた、ひきあいにだした
sneeze,くしゃみをする,くしゃみをする
announced,告知した。あることを公に発表したことを指します。例 an announced meeting(告知された会議),こくちした。あることをこうにはっぴょうしたことをさします。れい an announced meeting(こくちされたかいぎ)
appoint,任務を与えること。,にんむをあたえること。
aboard,船に乗って、あるいは乗客として。,ふねにのって、あるいはじょうきゃくとして。
have a good time,楽しむ。,たのしむ。
protectionism,保護主義。自国産業を守るための政策。,ほごしゅぎ。じこくさんぎょうをまもるためのせいさく。
case,事例、箱、容器,じれい、はこ、ようき
incomplete,未完成の・不十分な,みかんせいの・ふじゅうぶんな
worse,より悪い、さらに悪い。比較級で、状況が以前より悪化していること。,よりわるい、さらにわるい。ひかくきゅうで、じょうきょうがいぜんよりあっかしていること。
digestion,消化、理解,しょうか、りかい
disadvantage,不利益、欠点、短所,ふりえき、けってん、たんしょ
scale,大きさや範囲の指標。,おおきさやはんいのしひょう。
pour,注ぐ、降り注ぐ,そそぐ、おりそそぐ
fundamental,基本的な。,きほんてきな。
pulp,果肉、パルプ,かにく、ぱるぷ
cape,岬、半島、マント,みさき、はんしま、まんと
downside,欠点や負の面。,けってんやふのめん。
usual,通常の、一般的な行動様式。,つうじょうの、いっぱんてきなこうどうようしき。
commercially,商業的に、営利目的で。ビジネスの観点から。,しょうぎょうてきに、えいりもくてきで。びじねすのかんてんから。
sympathy,同情、他者の感情に寄り添うこと。,どうじょう、たしゃのかんじょうによりそうこと。
emerging,新興の、台頭しつつある,しんこうの、たいとうしつつある
proposal,提案。計画や案を示して他者に考慮を求めることを意味します。,ていあん。けいかくやあんをしめしてたしゃにこうりょをもとめることをいみします。
pastry,小麦粉を使った焼き菓子。,こむぎこをつかったやきかし。
intend,意図する、つもりである、計画する。,いとする、つもりである、けいかくする。
limit,範囲や数量を制限すること。,はんいやすうりょうをせいげんすること。
receive,受け取る。何かを与えられる、あるいは情報を得ること。,うけとる。なにかをあたえられる、あるいはじょうほうをえること。
occupied,使用中の、占領された,しようちゅうの、せんりょうされた
inspiring,やる気が出るような、希望を与える。,やるきがでるような、きぼうをあたえる。
estate,財産や土地の権利。,ざいさんやとちのけんり。
variance,差異、不一致、分散,さい、ふいっち、ぶんさん
bright,光が強く明るい様子。,ひかりがつよくあかるいようす。
unanimous,全員一致の、異議のない,ぜんいんいっちの、いぎのない
intelligent,賢い、頭の良い,かしこい、あたまのよい
allow,許可する、可能にする。allow to(～することを許可する)、allowing for(～を考慮に入れて)など。,きょかする、かのうにする。allow to(~することをきょかする)、allowing for(~をこうりょにいれて)など。
expansion,拡張、拡大、膨張,かくちょう、かくだい、ぼうちょう
revelation,啓示、暴露、発見,けいじ、ばくろ、はっけん
polite,礼儀正しい、丁寧な,れいぎただしい、ていねいな
chunk,大きな塊、部分や断片。,おおきなかい、ぶぶんやだんぺん。
colleague,同僚。一緒に働く人。例 a close colleague(親しい同僚),どうりょう。いっしょにはたらくにん。れい a close colleague(したしいどうりょう)
invade,侵入する、侵略する,しんにゅうする、しんりゃくする
installed,システムや設備を設置完了,しすてむやせつびをせっちかんりょう
mourn,悲しむ、死を悼む,かなしむ、しをいたむ
responsibility,責任、義務。行動や結果に対して負うべき義務や責務を意味します。,せきにん、ぎむ。こうどうやけっかにたいしておうべきぎむやせきむをいみします。
toward,～の方へ、または～に向かって。目的や方向に向けて進んでいる状態を指します。,~のほうへ、または~にむかって。もくてきやほうこうにむけてすすんでいるじょうたいをさします。
nevertheless,にもかかわらず。それにもかかわらず起こることや行うことを意味します。,にもかかわらず。それにもかかわらずおこることやおこなうことをいみします。
consent,同意すること、承認。,どういすること、しょうにん。
universal,普遍的な、全世界共通の,ふへんてきな、ぜんせかいきょうつうの
rebel,体制に反抗する人,たいせいにはんこうするにん
creditor,お金を貸した側、債権者,おかねをかしたがわ、さいけんしゃ
utmost,最高度の、極限の、最大限の,さいこうどの、きょくげんの、さいだいげんの
expenditure,支出、経費支払い,ししゅつ、けいひしはらい
repair,修理する、修繕する,しゅうりする、しゅうぜんする
delay,遅延する、または遅延。計画や予定が予定より遅れて進むことを意味します。,ちえんする、またはちえん。けいかくやよていがよていよりおくれてすすむことをいみします。
nonrefundable,返金ができない条件の。,へんきんができないじょうけんの。
price,価格。商品やサービスの値段。,かかく。しょうひんやさーびすのねだん。
accelerate,加速する、促進する,かそくする、そくしんする
sphere,球体、範囲,きゅうたい、はんい
tax,税。政府が公共サービスを提供するために個人や企業から徴収する金銭を指します。,ぜい。せいふがこうきょうさーびすをていきょうするためにこじんやきぎょうからちょうしゅうするきんせんをさします。
donate,寄付する、贈与する、献血する。,きふする、ぞうよする、けんけつする。
existing,既存の、現在あるもの。,きぞんの、げんざいあるもの。
dizzy,めまいがする、目が回る,めまいがする、めがまわる
spit,唾を吐く、串刺しにする,つばをはく、くしざしにする
regression,回帰。データの関係性を数学的モデルで表現すること。,かいき。でーたのかんけいせいをすうがくてきもでるでひょうげんすること。
imply,暗に示す、ほのめかす、含意する,あんにしめす、ほのめかす、がんいする
path,道筋、進路、小道,みちすじ、しんろ、こみち
assume,事実として受け入れる。,じじつとしてうけいれる。
unfavorable,否定的な、良くない影響を持つ。,ひていてきな、よくないえいきょうをもつ。
spokesperson,組織を代表する人。,そしきをだいひょうするにん。
browse,ざっと見る行為。,ざっとみるこうい。
effectively,効率的に、有効に,こうりつてきに、ゆうこうに
let,～させる。許可を与える、またはある状態になることを許す。,~させる。きょかをあたえる、またはあるじょうたいになることをゆるす。
contemporary,同時代の、現代の、最新の。,どうじだいの、げんだいの、さいしんの。
exotic,異国情緒の、珍しい魅力を持つ。,いこくじょうちょの、めずらしいみりょくをもつ。
enhance,強調する。改善する、向上させる。,きょうちょうする。かいぜんする、こうじょうさせる。
cashflow,現金流量、資金繰り,げんきんりゅうりょう、しきんぐり
objective,目標、目的。達成しようとする具体的な到達点や目指すべき成果。「明確なobjectiveを設定する」,もくひょう、もくてき。たっせいしようとするぐたいてきなとうたつてんやめざすべきせいか。「めいかくなobjectiveをせっていする」
as soon as possible,できるだけ早く。,できるだけはやく。
clientele,顧客、常連客、得意先。,こきゃく、じょうれんきゃく、とくいさき。
widespread,広範囲に広がる。,こうはんいにひろがる。
expensive,高価な、値段が高い。very expensive(とても高価な)、too expensive(高すぎる)など,こうかな、ねだんがたかい。very expensive(とてもこうかな)、too expensive(たかすぎる)など
drastically,大幅に、急激に,おおはばに、きゅうげきに
continuous,連続の、途切れなく続くこと。,れんぞくの、とぎれなくつづくこと。
engaged,従事している、婚約中,じゅうじしている、こんやくちゅう
investment,投資、出資。将来の利益を期待して資金や資源を投じること。,とうし、しゅっし。しょうらいのりえきをきたいしてしきんやしげんをとうじること。
lag,進行や進捗が遅れる。,しんこうやしんちょくがおくれる。
opposed,反対の、対立する,はんたいの、たいりつする
completed,完了した、完成した、終えた,かんりょうした、かんせいした、おえた
bill,請求書、法案、紙幣,せいきゅうしょ、ほうあん、しへい
minute,分(時間)、詳細な、議事録,ふん(じかん)、しょうさいな、ぎじろく
entertaining,楽しませる、面白い内容の,たのしませる、おもしろいないようの
suspect,疑う、容疑者,うたがう、ようぎしゃ
oversight,監督、見落とし,かんとく、みおとし
eliminate,除去する、排除する,じょきょする、はいじょする
