thousand,千、千の
have to,～しなければならない
colleague,同僚。一緒に働く人。例 a close colleague(親しい同僚)
hire,仕事のために人を雇う、または人材を採用すること。
topography,地形学
erect,直立の、垂直に立っている。
dusky,薄暗い、昏い
insinuate,ほのめかす、示唆する
stop off,途中下車する、寄り道する
fluorescent,蛍光の、発光する
hub,中心部、核心
fortunately,幸運に恵まれて。
emperor,国の最高君主。
creak,キーキー鳴る
enable,可能にする、実現する
fall apart,崩壊する、ばらばらに壊れる
eloquence,雄弁
putative,推定の、予測の
meteor,流星、流れ星
groom,新郎
token,しるし、象徴
regulator,規制機関、調整装置
subdivision,細分化、分割
archive,保管所、記録保管所。重要な記録や文書を保存する場所。
offensive,攻撃的な、無礼な
stunning,驚くような、驚異的な
corroboration,確証
depress,落ち込ませる、憂鬱にする
preceding,時間的に前にある、前回の
firmly,堅く、確固として
addition,追加、付加
for free,無料で、無償で
omnipotent,全能の
posterity,子孫
interaction,相互作用
deserving,ふさわしい、値する、適格な
succeed,成功する、達成する
be short of,が不足する、欠ける
cordon,非常線
sublime,高尚な、気品のある
portrait,人物を描いた絵や写真。
concentrate A on B,AをBに集中させる、AをBに専念させる
curfew,門限、帰宅制限
realm,知識や権力の領域。
peaceful,平和な、安らかな
painstaking,骨を折る、苦心する
diffusion,拡散、広がり
lush,青々とした、生い茂った、新緑の
restrict,を制限する、を限定する
away,離れて
question,質問
topple,倒れる
fall short of,に達しない
frustration,欲求不満、落胆
figment,作りごと
family-owned,家族経営の、同族企業の
read between the lines,行間を読む
outline,要点・概要・アウトライン
secretarial,秘書の、秘書による。秘書の仕事や職務に関すること。
odor,臭い。特定の香りや臭覚に感じる物質の揮発成分を指します。
persuasion,説得、口説き
get hands on,手に入れる
pluck,を引き抜く、摘む
brook,小川、せせらぎ
feature,特徴、機能。物や人が持つ独特の属性や、装置などの特別な機能を指します。
gas,ガソリン、気体、ガス
increasing,数や量が増え続ける。
incorrect,間違った、不正確な、誤りの。
brisk,活発な、元気の良い
waterfall,滝、瀑布
look over,見渡す、展望する
injury prevention,怪我の予防策
anecdote,逸話
peevish,気難しい
myriad,無数の
comply,準拠する、従う。規則や要求に従って行動すること。
hold a grudge against,に対して憎しみを抱く
jump at,に飛びつく、すぐに受け入れる
foot,足
gay,同性愛の、同性愛者の
worlds apart,別世界の、非常に異なって
consistently,一貫して、常に
statistic,統計、統計学
shade,日陰、陰、色調
totally,完全に、全く
epiphany,悟り
broom,ほうき、掃除道具
arithmetic,数の計算や演算。
boisterous,騒々しい
experiment,実験、試み
funk,臆病、怯える、気が小さい
dislike,嫌がる、嫌い
roost,ねぐら
bland,味が薄い
beget,子供を授かる
in radius,半径で、内半径で
pharmacist,薬の調合・販売を行う専門家。
textual,本文の、正文の、原本の
infectious,伝染性の、感染する
be about to,まさに〜しようとしている
homage,敬意、尊敬
individual,個々の、または個人。特定の一人一人を指す場合や、単独であることを指します。
comical,滑稽な、おかしい
volcanic,火山の
murky,陰気な、暗い
waive,権利放棄する、免除する
witch,魔女、魔法使い
confront,直面させる、に立ち向かう
million,百万、あるいは非常に多い数の単位。
derelict,浮浪者
device,機器、装置。特定の目的で使用される機械や器具を指します。
shoal,浅瀬
may well,おそらく～だろう
armament,武装
sob,すすり泣く、涙声で泣く、泣く音
infertility,不妊
live,住む
walk off with,から歩いて出る、立ち去る
endless,無限の、果てしない
people,人々
brought,持って来た
as a result,結果として、その結果
soothing,和らげる、軽減する
press for,をせがむ、要求する
schism,分裂
design,設計、設計する。物事の構造や形を計画し、具体的な形にすること。
kick back,逆襲する、見返り
fluff,綿毛
Muslim,イスラム教徒、ムスリム
arrive,到着する。ある場所に達すること。
coworker,一緒に働く同僚・仲間
incubation,ふ化
bask,日向ぼっこする、日光浴する
outer,外に、外部の
absurd,理性では理解できないこと。
all around the world,世界中の、全世界の
all the time,いつも、いつでも
smooth over,丸く収める、穏便に済ます
rob,から奪う、強奪する
around,のまわりに
on the contrary,その反対で、それどころか
prepare,準備をする、に準備をさせる。何かをするために必要なことをあらかじめ行う。
be determined to,しようと固く決意している
extraordinary,並外れた、驚くべき
be new to,に対して経験が浅い
make an effort,努力をする
meet,会う
torch,炎を持つ手持ちのたいまつ。
subscription,処方箋、定期購読。サービスを定期的に受けるための契約や支払い。月額会員など。
discreet,慎重な、分別のある
crony,旧友
cherry,さくらんぼ
illustrate,例や図を用いて説明する。
nonpartisan,無所属の
foam,泡、気泡、スポンジ状のもの
in a vacuum,真空で、真空中で
appreciate,感謝する、価値を認める。良さを理解し、ありがたく思うこと。
discernible,識別できる、区別できる
expedite,物事を迅速に進める、促進すること。
had,食べた
coupon,割引券、特典の証明。
attire,特定の服装、衣類のスタイル。
intravenous,静脈内の、静脈の範囲内で
adjust A to B,AとBを調整する、AをBに合わせる
clinch,折り曲げて留める、折って固定する
halfway,中間の、途中の
amass,蓄える、保存する
wan,青白い、血の気のない
cupboard,食器を収納する棚。
inexplicable,不可解な、説明できない
recrimination,非難し返す
watermelon,スイカ
on time,時間通りに
opinionated,頑固な、意固地な
ape,類人猿、真似る
bird,鳥
organism,生物、有機体
initially,最初に、当初は。物事の開始時点や初期段階において。
get along,うまくやる、仲良くやる
contraceptive,避妊の、出産を防ぐ
vial,ガラス瓶
inflame,を興奮させる、燃え上がらせる
too ～ for,～すぎる
pull someone's leg,冗談で誰かをからかう、いたずらする
stink,悪臭を放つ
recovery time,体力回復の時間
clueless,無知な、知識のない
be about to do,やろうとしている、まさに何かをしようとしている
willing,いとわない、快諾する
statute,制定法、法令、条例
abroad,外国で、外国へ
correctly,正しく、適切に
inexpensive,安価な。比較的価格が低く、購入しやすいものを指します。
droop,うなだれる
staunch,堅い、堅固な
decide,決定する、判断を下すこと。ある選択肢を最終的に選ぶことです。
sclerosis,硬化
maybe,たぶん、おそらく
in private,非公式に
baron,男爵
archipelago,群島、諸島
down the drain,排水路に流されて、失われて
refinery,精製所、精練工場
rout,敗走、撤退
voice,声、発言、意見を表明する手段。
vastness,広大さ、膨大さ
come into being,生まれ出る、生ずる
amaze,をびっくりさせる、驚かせる
breadth,幅、広がり、範囲
let go of,から手を離す
arthritis,関節炎、関節の炎症
head on,正面から、真向かいに
least,最も少ない、最小の。at least(少なくとも)、the least expensive(最も安価な)など。
arrange,手配する、準備する。
natural disaster,自然災害、天災
incarcerate,投獄する
similar to,に似ている、類似している
prolific,多産の
city of angels,天使の街(ロサンゼルス)
victim,被害にあった人。
mythology,神話
strawberry,いちご
oblivious,忘れっぽい、物忘れの激しい
infuriate,を激怒させる
buyout,買占め、大量に買い占める行為、買い集め
in-person,対面で行うこと、実際に。
tumor,腫瘍、異常な細胞の塊
anyway,とにかく、それはそうと
nun,修道女
angle,角度、角
swirl,渦巻く、旋回する
entrepreneurship,起業家精神、創業者の心
depot,倉庫、車庫、基地
long-term,長期的な計画や視野。
discussion,議論、討論
embankment,堤防
pitiful,哀れな、かわいそうな
dialogue,対話
blue,青い
infringe on,侵害する、侵犯する
expecting,期待を抱いている状態。
fade away,消えていく、消滅していく
look to,を頼りにする、信頼する、頼りにする
brag,自慢
atop,頂上に、または上に位置して。
john,男性名、古典的
instructor,教官、指導員、講師
shady,陰になった、日陰になった
in advance,前もって、あらかじめ
casual,リラックスした、形式的でない。
tonic,強壮剤、健康促進剤
gregarious,群生した
aptitude,何かに対する自然な能力。
slide,滑る、滑走する
buy out,買い取る、株を買い取る
jessica,女性名、現代的
mouth,口
nine,9
alleviate,和らげる、軽減する
nurture,を養う、養育する
concentrate on,に集中する、専念する
be in favor of,に賛成である
think over,熟考する、よく考える
data mining,データマイニング。大量のデータから有用な情報やパターンを抽出すること。
approximately,約、おおよそ。大まかな数値や範囲を示し、正確ではないが近似の値を表します。
uncertainty,不確実性、不明確さ
hang over,持ち越される、継続する
law enforcement,法の執行、法の適用、法の施行
math,数学
chum,仲良し、親友
ten,10
ambush,待ち伏せ、待ち構え、伏兵
orphan,孤児
echo,こだま、反響
dish out,盛り付ける、配膳する
get rid of,を取り除く、除去する
acupuncture,鍼
actual,実際の、現実の。現実に存在する、または起こっている状態。
wart,いぼ
tinge,色合い
prelude,前触れ、予兆
neutralize,中和する、中立化する
defeat,敗北させる、打ち負かす
hope for,を願う
precaution,用心、予防策
emergency,緊急事態、緊急
rub off,こすり落とす
be well of,元気で
fiscal policy,財政政策。政府の歳入・歳出を通じた経済運営。
majesty,威厳や荘厳さ、主権の状態。
at most,多くとも、せいぜい
paranoia,妄想症、幻想症
install,導入する、システムや機器を設置する。
periodic,定期的な、周期的な
shabby,みすぼらしい
contend with,と戦う、張り合う
haphazard,偶然
lethal,致命的な
smolder,燻る
clay,粘土、陶土
vulnerable,弱い、傷つきやすい
furlough,休暇
souvenir,記念となる品物。
lay off,を解雇する、クビにする
ransack,捜しまわる
filth,汚物
startle,驚かせる、ぎょっとさせる
carve,彫る、切り分ける
intimacy,親密さ、親交関係
greeting,あいさつ、初対面の言葉や仕草。
a couple of,少数の
electrode,電極、電流を通す部品、電流を通す部品
fabric,織物の素材全般。
belabor,冗長に述べる、くどくど言う
meager,貧弱な
flop,ばったり倒れる、突然倒れる
born,生まれる
contaminant,汚染物質、環境に害を与える物質
enrich,豊かにする、価値を高める
municipal,市政の。都市の行政に関する。
feeble,虚弱な、力のない
sibling,兄弟姉妹(血縁関係)
picture,絵、写真、画像。
oppress,を抑圧する、虐げる
saving account,普通預金、通常の預金、銀行預金
swallow up,飲み込む、使い尽くす
midnight,真夜中
diversity,多様性、様々な違いの存在
cardiovascular,心血管の
universal,普遍的な、全世界共通の
take over,〜を引き継ぐ、継承
broad,広い、拡大する
present,現在の、出席している、提示する。
allegory,たとえ話、比喩
differ,異なる、違う
so as to,するように、なるように
retailer,小売業者、販売店
gulp,急いで飲み込む
knack,こつ、要領
pile in,どっと中に入る、一気に入る
fall,落ちる 降りる
absorb,を吸収する、吸い取る
resurrection,復活、再生
decide on,を決める
twitter,さえずる
hummus,ひよこ豆のペースト
instructional,教育の、指導的な
ordinance,条例、地方自治体が制定する法律、法令
stun,を気絶させる
make ends meet,収支を合わせる、つじつまを合わせる
squander opportunities,機会を無駄にする
patriarch,家長、家族の主
had better do,したほうがいい
approval,承認。提案や要求に対して公式に認めることを指します。
stow,詰め込む
benefit,利益、に利益をもたらす。良い結果や効果をもたらすこと。
enjoy,楽しむ
eavesdrop,盗聴する
expend,費やす、消費する
cobble,修繕する、修理する
discourage,気持ちをがっかりさせる。
thought,考えること、意見
politely,丁寧に、礼儀正しく
lid,容器の蓋。
moment,瞬間。非常に短い一瞬や、特定の重要な場面を意味します。
in a bad temper,不機嫌に、機嫌の悪い
memorandum,覚書、備忘録
daily,日常の
brighten,を明るくする、光らせる
drink in,吸収する、見とれる
flip,軽くはじいたり回したり。
charge,責任や非難、または料金として請求すること。
drapery,カーテン、垂れ布
temperament,気質、性質
comparison,比較、二つ以上のものの違いや類似点を調べること。
adjective,形容詞、形容する言葉
partition,仕切り、分割
testimony,証言、申し立て
mediocre,平凡な、月並みの
tranquilize,静める
emily,女性名、可愛い
checkup,健康診断、点検
maximum,達成可能な最大の限界。
affiliated,提携した、連携した
polite,礼儀正しい、丁寧な
over and over again,何度も繰り返し
in terms of,に関して、の点から
impeach,を責める、弾劾する
make do with,で間に合わせる、でやりくりする
department,部門、課。会社の組織単位。
rostrum,演壇
laity,信徒たち
hark,聞く
give in,降伏する、投降する
for now,今のところは
elusive,捉えどころのない、不確定な
lately,最近、近ごろ
copyright,創作物の権利保護。
took,取った
dealer,販売業者、売り手
responsibility,責任、義務。行動や結果に対して負うべき義務や責務を意味します。
description,説明書、記述
scanty,乏しい、不十分な
in a nutshell,一言で言えば、極めて簡単に言えば
vendor,供給者。商品やサービスを他の企業や個人に販売する個人や企業。
how often,どのぐらいの頻度
permanently,恒久的に、永遠に
occupation,一定の仕事や職業。
hale,元気な、活発な
during,～の間、～を通じて。ある期間の最初から最後まで、その期間中にという意味。
revulsion,嫌悪、反感
hedge bets,賭けを保険する、危険性を減らす
physical fitness,身体の健康と体力
dynasty,王朝、支配家系。
viewer,観察者、視聴者、監視人
instigate,扇動する
merriment,陽気な騒ぎ
amount to,総計～になる
so to speak,言わば
grow out of,から生じる、脱皮する
context,文脈、背景
excursion,学習や観光目的で行う短期間の旅行や遠足。
apprentice,見習い職人、修行中の人
work off,徐々に取れる、減らす
the other way around,逆に
surrender to,に降伏する、屈服する
dozen,12の
moan,うめき声、苦痛の声
denounce,非難する、批判する
far,遠くに、はるかに。
stump,切り株
introspection,内省
undertake,を引き受ける、着手する
iron,鉄
fossil,地層中に保存された古代生物の痕跡や遺物。
rogue,悪党
convenience,便利、都合の良さ。
memorabilia,記憶に値する事柄
tenuous,薄い
modify,を変更する、を修正する
the day before yesterday,一昨日
shelf life,保存可能期間、賞味期限
majestic,雄大な
privatization,公営企業の民間移管・民営化
falsify,改ざんする
erroneous,誤った、間違えた
scathing,痛烈な、厳しい
take effect,効力を発揮する
detour,迂回する、回り道をする
murmur,つぶやく、小声で話す
teeter,ぶらぶらする
capable of,ができる、可能で
obstruct,をふさぐ、遮断する
agonize,苦しむ
summit,山の最高点や会議の頂上。
crease,折り目
with a vengeance,すさまじい勢いで、猛烈に
take one's time,時間をかけてゆっくりやる
on account of,のため、目的の
game strategy,試合の戦略
assail,暴行する
informed,情報を伝えられた状態。
face,直面する・顔
loud,騒がしい
so,とても
fitful,気まぐれな
all the same,それでもやはり
peculiar,独特で奇妙な特徴。
primordial,原始的な
antiseptic,殺菌の
worse,より悪い、さらに悪い。比較級で、状況が以前より悪化していること。
stale,古くさい、新鮮でない
compress,圧縮する
landfill,埋め立て、廃棄物処分場。
overture,序曲、前奏曲
fret,いらいらする、怒る
impact,影響、影響する。ある行動や出来事が他の状況や人に与える効果や変化。
economic sanctions,経済制裁。他国に対して経済的な制裁措置を講じること。
sloppy,ずさんな、いい加減な
sniff,を嗅ぐ、におう
laugh,笑う
shoulder,肩
synthesize,統合する、まとめる
altruism,利他主義、無私無欲
obdurate,頑固な
out of the woods,森の外へ、困難を脱して
tame,飼い慣らされた、家畜化された、馴染む
burglary,強盗、住宅侵入
iniquity,不正
smallpox,天然痘
spectacle,光景、ありさま
as much as to say,と言わんばかりに、と言っているかのように
fish,魚
biology,生物学、生命の科学的研究。
thrust,突き上げる
avail,利用する
thorn,植物の鋭いとげ、刺。
pig,ブタ
wife,妻
tow,をけん引する、引く
confirmation,確認、証明、承認。
churros,揚げた甘い生地
typically,典型的に、または一般的に。普通や標準的な特徴を持つ様子を表します。
wherever,どこでも、どの場所でも
gnaw,かじる、噛む
might as well do,するかもしれない、起こり得る
equivalent,等価の、同等の。価値や意味が同じである状態。
diagnose,症状を見極め判断。
deliver,配達する、届ける、提供する
decor,装飾、室内装飾、飾り付け
ancillary,付属の
usurp,奪う
cede,譲る
ladder,はしご。高い場所へ昇り降りするための道具。比喩的に、成功へのステップを表すこともある。
path,道筋、進路、小道
flood,洪水、氾濫、大量の。
miss out,機会を逃す、見落とす、見過ごす
aviary,鳥小屋
hunch,直感、本能
too,～もまた
outdated,時代遅れの
material,材料。何かを作るために使われる物質。
head off,を回避する、阻止する、避ける
ivory,象の牙から得られる高価な白い素材。
color,色
urgent,緊急の、差し迫った。即座の対応が必要な状況。
what is worse,さらに悪いことには、更に悪化して
narrative,物語、話
and,～と
compilation,編集、修正、校正
exist,存在する、実在する。現実に有ること。
Chasing dreams one step at a time.,夢に向かって一歩ずつ進んでいます。
paw,動物の足
heath,荒野、野原
describe A as B,AをBだと述べる
mendacious,嘘つきの、不誠実な
anger,怒り、憤り
troubleshooting,問題解決、障害対策
glut,満たす、充足させる
detection,発見、探知
constrict,狭める、締め付ける
along,～に沿って。物や場所に平行するように進むことや、道に従って移動することを意味します。
similar,特徴がよく似ている。
come out with,を見せる、口に出す
foreclose,除外する
ample,十分な、余裕のある量。
love,愛
advance,前に進む、前進する、または事前に行うこと。
deceptive,だまそうとする、当てにならない
agreement,合意、契約。複数の当事者間での意見の一致や取り決め。
fraternity,友愛、友情
increase,増加させる、増える。
low-hanging fruit,簡単に得られるもの
go places,遊びまわる、出世する
noisy,騒がしい
diplomatic mission,外交使節団。他国に派遣される外交官のグループ。
machinery,機械類・機械設備
gutter,側溝、排水溝
absentee,欠席者、不参加者
clean,きれいな
merchandise,商品、商材。販売のための品物全般。
personal,個人の
citadel,城塞
optimum,最適な、最良の。与えられた条件下で最も望ましい状態。
alternate,代替の、交互の
dismissal,解散、解任
eyelid,まぶた
thrifty,倹約な
in practice,実際には、実際
inadvertent,不注意な
rust,錆び、酸化
sterilize,殺菌する
custody,子供や財産の法的な管理権、親権。
be ready for,の用意ができている
successful,成功した
gargle,うがいする
rib,肋骨、あばら骨
brush,をみがく
in place of,の代わりに、変わって
wind up,巻き上げる、終わりにする
surrender,敵に降伏する行為。
set up,設立する。
dm (direct message),直接メッセージ
choose,選ぶ
invigorate,活気づける、元気づける
tea,お茶
borderline,境界
perk,特典、元気になる
be applicable to,に当てはまる、に適している
as a last resort,最後の手段として、切羽詰まって
won,勝った
faraway,非常に遠い、または遠く離れた場所にあること。
insofar,その範囲で、その限りで
be crowded with,で混んでいる、混雑している
lift,物を上げる動作。
moor,つなぐ
drool,よだれを垂らす
`false,誤った、間違った
endemic,風土病、地域病、特定の地域で多く見られる病気
shit,大便、便
mobilize,動員する
seductive,魅惑的な
halt,停止する、中断する
foggy,霧のかかった
obstreperous,騒々しい、手に負えない
put on,着る
concern,懸案する。問題や状況について重要と考え、心配や関心を抱くことを意味します。
Let us(Let's),～しましょう
aggrieved,感情を害した
roam,歩き回る
rampart,城壁、城の壁
once upon a time,昔々
as A as ever,いつものようにAな、相変わらずAな
June,6月
profitability,収益性、採算性
proceed,進む、始める
commotion,騒動
as before,以前の様に、以前と同等に
poll,有権者の意見調査。
convalescence,回復期
since,～以来。ある時点からずっとという意味を表す。
precocious,早熟の、早く成熟する
role,特定の役割や機能。
add up to,結局～になる、結果として
unlike,～とは違って、～と異なり。比較対象との違いを強調する。
snap out of,から素早く脱出する、抜け出す
standard,標準、基準となるもの。
laconic,簡潔な、寡黙な
peruse,熟読する
look at,を見る
overlook,重要な点を見落とす。
die from,で死ぬ
epidemic,伝染病の、流行性の
yonder,向こう側の、遠くの
pan out,砂金が出る、成功する
fade,徐々に消えていく、褪せる
drought,干ばつ
clock,置き時計
evocative,呼び起こした
hidden,隠された、隠秘の
lessen,減らす、減少させる
lug,力を込めて引く
idiosyncrasy,特異性、個人的な特徴
hinge,要点、蝶番
favorable,好ましい、有利な。望ましい状態や条件であること。
articulate,言葉を明確にする、はっきり話す。
it,それは
customs,税関
funny,面白い、可笑しい、変な
fussy,小うるさい
at the moment,今のところ、現状、現在点
be weak in,不得意である
assemble,組み立てる、集合する
maiden,未婚の
discern,はっきり分かる、認める
golden rule,黄金律
be responsible for,に対して責任がある
bashful,内気な
migraine,偏頭痛
ebullient,沸き立つような、元気いっぱいの
restructure,組織や構造を再編する
be devoted to,に専念した、に夢中な
damaged,損傷した、壊れた、傷ついた
receipt,領収書。支払いを受けたことの証明書。例 a sales receipt(販売の領収書)
stiffen,を堅くする、硬化する
nosy,詮索好きな
absent,欠席している、いない状態。
crash into,衝突する、ぶち当たる
effusive,感情むき出しの
by no means,決して～しない
imprudent,軽率な、無謀な
seed,種子、種
season,味付けする
twinkle,瞬きながら輝く、きらめく。
contrived,わざとらしい、不自然な
glutton,食いしん坊
more or less,大なり小なり
dearth,欠乏、不足
century,世紀、100年の期間。
take pains,苦労する、骨を折る
speck,斑点
pounce,飛び掛かる
reliant,頼っている、信頼している
passion,深い興味や強い情熱。
peat,泥炭
personally,個人的に、本人自ら
atomic,原子に関するもの。
brick,れんが、れんが状のもの
canister,金属容器
be considered to,と見なされる、と認識される
take issue with,と対立する
match-up,対戦相手や試合
distant,距離が遠い、隔たっている。
board member,役員。会社の意思決定に関わるメンバー。例 a board of directors(取締役会)
ill,病気で、気分の悪い
primitive,初期の、原始的な。
right off,すぐに、直ちに
effervescent,発泡性の
poke fun at,をからかう、を馬鹿にする
umbrella,傘、保護するもの
gentle,穏やかな、物柔らかな
resurfaced,再び表面に現れた。
faded,色あせた、退色した
cost-effective,費用対効果の高い、経済的な。
pay,支払う。お金を払うこと。
embarked,始めた、着手した
palatable,美味しい
have no idea,見当がつかない
because of,～が理由で、目的のために
abolish,法律や制度などを廃止する
sully,汚す、名誉を傷つける
ward,区画、病棟、被後見人
quibble,あら探し、些細な異議
dramatic,劇的な、感動的な
ceaseless,絶え間ない
daily bread,日々の糧
in the end,最終的には
idyllic,のどかな、穏やかな
hear from,から便りがある、連絡をもらう
school,学校
steal,盗む
get in on,加わる、乗り込む
passage,一節、通路、経過
destination,目的地。旅行や移動の終着地点や到達する場所を指します。
be superior to,より優れている
see out,見送る、見届ける
serpent,蛇、蛇のような人
practice makes perfect,継続は力なり
squirt,噴出する
forgiveness,赦し
episcopal,監督の、司教の
catch on with,に追いつく、届く
explain,説明する。何かをわかりやすく説明すること。
fuss,些細なことへの過剰な関心や空騒ぎ。
develop,開発する、成長する。新しい製品を作り出すことや、技術・能力が成長する過程を指します。
keep in,抑える、閉じ込める
on the occasion of,に際して、にあたって
sensitive,敏感な、繊細な。外部の刺激に対して反応しやすい状態。
engagement,約束、公式な約束や契約。
am,いる、ある
dictate,命令する、口述する
iconoclast,偶像破壊者、伝統に反抗する人
foe,敵
rag,ぼろきれ、布切れ
plume,飾り羽根、装飾用の羽
place a ban on,を禁止する、禁じる
budget travel,節約旅行
participation,活動や行事への参加・関与
prefer A to B,BよりAを好む
ethos,気風
needlessly,不必要に、無用に
retrospect,回顧、回想
predicament,苦境、困難
anatomy,解剖学
take apart,を分解する
sleepy,眠い
hallucination,幻覚
node,節
cheek,頬、顔の側面
decent,まともな、ふさわしい
pregnant,妊娠している、妊娠中の
when it comes to,のことになると、(話が)…ということになると
glorify,栄光をたたえる、賛美する
exhibitor,展示者、商品や作品を展示する人。
sneak in,こっそり入る
emission,物質の排出過程。
be envious of,をうらやんでいる
on the way,道の途中で
check-in,搭乗手続き
pervade,浸透する
down payment,頭金、手付金
blaze,強い火炎や炎のこと。
typhoid,腸チフス
tell A apart,Aを区別する、Aを見分ける
mammal,哺乳類の動物、毛がある。
to date,これまで、現在まで
finger,指
petulant,拗ねた
be,である
dedicate,全力を注ぐ、献身する
graze,軽食をとる、または動物が草を食べること。
sticking point,障害、行き詰り
heady,せっかちな、急かせる
unit,単位。数や量を計測するための基準や、組織内の独立した部門を指します。
immerse,浸す、没入する
supposedly,〜とされている、噂では
possess,所有・持っている。
out of work,失業中で
affirmation,断言、明言
citizenship,市民権、公民権
confusion,情報の混乱状態。
wail,泣き叫ぶ
anniversary,～周年、記念日。
mentally,精神的に、心の面で
go ahead,先に行く
shank,すね
put A aside,Aを脇に置く、Aを放置する
allow,許可する、可能にする。
screech,金切り声、高い叫び声
diagram,図
seal,密閉する、封鎖する
regardless of,にも関わらず、それにも関わらず
outcast,追放された、追い出された
implement,実装する。設計された機能やシステムを実際に作り上げること。
torment,苦しめる
strain,緊張させる、こす、濾す
completed,完了した、完成した、終えた
regards,何かを特定の方法で考える、または敬意を込めた言葉。
former,元の、前の。過去に存在したものや、かつてその地位にあったものを指します。
hegemony,覇権
romp,ふざけ回る、遊び回る、馬鹿騒ぎする
vicinity,近所、近隣
conservatory,温室
mockingly,あざけるように、からかって
anteroom,控え室
occurrence,発生
communist,共産主義者、共産党員
sleeve,袖、カバー
smear,塗る、塗布する
scurry,せかせか動く、忙しなく動く
until,～まで。ある時点までずっとという意味を表す。
repel,追い払う
seven,7
environmentally,環境的に、情勢的に
trot out,持ち出す、言い出す
effective,効果的な、有効な
dining out,外食
draw the line,一線を画する
remuneration,労働に対する報酬
trial,裁判、試験、実験的な試み
wall,壁
put through,やり遂げる、に電話を繋ぐ
cohort,軍隊、仲間、部隊
proposal,提案。計画や案を示して他者に考慮を求めることを意味します。
martian,火星の、火星に関する
prosecution,起訴、告訴
disassemble,分解する、解体する
put out,消す
grilled fish,焼き魚
brush aside,無視する、軽視する
abusive,虐待的な、乱用の
pursuant,〜に従い、準拠して
reprimand,懲戒、罰すること、訓練
malevolent,悪意のある、意地悪な
either,いずれか、どちらか。二つの選択肢のうちの一方を指す言葉。
get on with,とうまくやっていく、スムーズに進める
example,例
grope,模索する、探求する
minute,分(時間)、詳細な、議事録
extinguish,を消す
swollen,腫れた
perennial,一年中続く、年間を通じて
be faced with,に直面している
spasm,けいれん
quash,鎮圧する、破棄する
flourish,繁栄する、栄える、発展する
estimated,見積もった、推定した。おおよその数値や状況を計算すること。
reminisce,思い出に浸る、回顧する
aerial,大気の、空気の
in question,問題となっている
thoroughfare,幹線道路
lusty,元気な
curt,そっけない、無愛想な
truthful,正直な、誠実な、真実を語る
contradict,を否定する、矛盾する
dodge a bullet,危機を回避する
conversion,ある形態への変換過程。
rectitude,実直さ、誠実さ
zealot,熱狂者
abundant,豊富な、豊かである。
anew,新たに
friendliness,友好的な態度
within reach,届く範囲で、手の届く範囲で
strikingly,著しく、目を引くほどに。
parish,教区、小教区
grasp by,をつかむ
at a standstill,停止中の、行き詰って
fraudulent,詐欺、欺騙
chalk up to,帰する、起因すると考える
facile,安易な、手軽な
tyranny,専制政治、圧政
October,10月
hedge,垣根、防止策としての措置。
carcass,死骸、遺体
be entitled to,の資格がある
flounder,もがく、足掻く
lexicon,語彙、言葉の集まり、単語群
express,考えや感情、意見を言葉や行動で表現すること。または意見をはっきり述べること。
chauvinism,愛国心
booty,戦利品、略奪物、盗品
james,男性名、人気
strict,厳密で厳しい様子。
unflappable,動じない、冷静な
as soon as possible,できるだけ早く。
reservation,予約。ホテルやレストラン、チケットなど、あらかじめ確保することを指します。
repudiate,否認する
fart,おならをする
acrid,刺激的な
book,事前に予約する行為。
botanical,植物に関する学問や知識。
enclave,飛び地、飛地
carry off,運び去る、誘拐する
take in,を摂取する、取り入れる
to begin with,最初に、最初から
quiet,静かな
impetus,運動力、活力、動力
bandage,包帯、絆創膏、ガーゼ
as is often the case with,よくあることだが
jest,冗談
capitalism,資本主義経済体制
hone in on,特定の対象に集中する
low,低い
whisk,泡立てる
measurement,測定、計測
cash,現金、手元資金
rhetoric,美辞麗句
in one's absence,不在中に、留守中に
researcher,研究者、調査員
quarantine,隔離
abhor,嫌悪する
arson,放火、火をつける
Friday,金曜日
throat,のど、咽喉
pier,桟橋。船が停泊するための構造物で、海や湖に突き出した部分を指します。
organic,無農薬の、化学肥料を使わない。
temple,宗教的な儀式を行う寺院。
stir up,をかき混ぜる、刺激する
squeal,悲鳴を上げる
refrain,控える、慎む
vogue,流行
isotope,同位元素
sprite,妖精
be reluctant to,気が進まない、嫌がる
upside down,逆さまに
dozens of,数十もの
back,後ろの、背中の、以前の
plump,ふっくらした
posted,掲示した、投稿した
nook,隅、角や端
heavy,重い
assume,事実として受け入れる。
illicit,不法の、違法な
impossible,不可能な、できない状態。
slick,滑らかな、艶やかな、平滑な
patiently,辛抱強く、根気よく
spread,広げる、あるいは拡大する。影響範囲や物理的な範囲を増やすことを指します。
festival,伝統的な催しや祭典、祭り。
demote,降格する
tacit,暗黙の、言わずと知れた
devious,遠回りの、回り道の
comprehend,理解する、把握する
annoy,いらだたせる、怒らせる
innermost,奥底の、深層の
capitalize on,に資本を投下する、を利用する
involve,関与する、巻き込む。何かに参加する、または含まれることを意味します。
pipeline,パイプライン。データや処理の流れを一連の工程として扱うこと。
prisoner,囚人、受刑者
long,長い
negative,否定的な意見や態度。
yarn,編み糸
entity,存在するものの総称。
redesign,再設計する、デザインを改める
abolition,廃止、撤廃
conundrum,難問、難題
reverse,反対の、裏側の
altercation,口論
burn,を燃やす
be made of,で成り立っている
stringent,厳格な
by the time,するまでには
